treatment,control,true_effect,N,bwfactor,bias,se,rmse,avse,coverage_rate
7.0,2.0,45.0,4000,1.75,-0.65466617160948459,0.41358524408426839,0.77433699846101067,0.44271290940838948,0.68175000000000086
7.0,2.0,45.0,4000,2.0,-0.95245194329751826,0.43138898221245287,1.0455690480077859,0.43489694161764147,0.41550000000000004
7.0,2.0,45.0,8000,0.25,0.35541090709057244,0.44498187289004765,0.5694526124822894,0.70207673669325132,0.9955
7.0,2.0,45.0,8000,0.5,0.30688525780460196,0.34230477203797693,0.45969753673311026,0.51068188259448377,0.98725000000000007
7.0,2.0,45.0,8000,0.75,0.23077747958821249,0.311715913691238,0.38781537389676257,0.42983815599130404,0.98399999999999876
7.0,2.0,45.0,8000,1.0,0.12757842983649681,0.29625092734981212,0.32251965298594226,0.3889681276069491,0.98525000000000007
7.0,2.0,45.0,8000,1.25,-0.0067087908634348992,0.29738516006776555,0.29742365712905822,0.3659188993398021,0.98399999999999943
7.0,2.0,45.0,8000,1.5,-0.17414485179578776,0.3070237241942691,0.35293969843770312,0.351106687118316,0.93799999999999906
7.0,2.0,45.0,8000,1.75,-0.368861078247086,0.32164794071743175,0.48937718424945276,0.34161975400448952,0.80850000000000155
7.0,2.0,45.0,8000,2.0,-0.59597910540443877,0.33833371511325566,0.68529714681686738,0.33858977168501897,0.54999999999999916
